Target Contract,Source Contract,# Covered Function,Covered Historical Tx (%)
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,3,0.967644084934277
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,3,0.10616784630940344
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,6,0.9989888776541962
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,4,0.9706774519716885
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,3,0.10616784630940344
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,4,0.9706774519716885
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,3,0.12537917087967643
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,3,0.10616784630940344
CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,4,0.11627906976744186
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,4,0.9948927477017364
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,3,0.02247191011235955
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,4,0.9948927477017364
mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,3,0.02247191011235955
